repeat,model,prefix_tau,subset,row_count,keyhole_count,roc_auc,pr_auc,accuracy,balanced_accuracy,keyhole_recall,conduction_recall,false_negative,false_positive,brier_score
1,h_only,0.2,full,350,70,0.9895408163265307,0.9547314444871036,0.96,0.9267857142857143,0.8714285714285714,0.9821428571428571,9,5,0.030683833398934744
1,h_only,0.2,q30,110,37,0.938171047760089,0.8364802998650065,0.8727272727272727,0.8441318030359126,0.7567567567567568,0.9315068493150684,9,5,0.09328603452651882
1,h_only,0.2,q20,77,29,0.9094827586206896,0.8046203827314236,0.8441558441558441,0.8204022988505747,0.7241379310344828,0.9166666666666666,8,4,0.11953223744454558
1,h_only,0.4,full,350,70,0.9895408163265307,0.9547314444871036,0.96,0.9267857142857143,0.8714285714285714,0.9821428571428571,9,5,0.030683833398934744
1,h_only,0.4,q30,110,37,0.938171047760089,0.8364802998650065,0.8727272727272727,0.8441318030359126,0.7567567567567568,0.9315068493150684,9,5,0.09328603452651882
1,h_only,0.4,q20,77,29,0.9094827586206896,0.8046203827314236,0.8441558441558441,0.8204022988505747,0.7241379310344828,0.9166666666666666,8,4,0.11953223744454558
1,h_only,0.6,full,350,70,0.9895408163265307,0.9547314444871036,0.96,0.9267857142857143,0.8714285714285714,0.9821428571428571,9,5,0.030683833398934744
1,h_only,0.6,q30,110,37,0.938171047760089,0.8364802998650065,0.8727272727272727,0.8441318030359126,0.7567567567567568,0.9315068493150684,9,5,0.09328603452651882
1,h_only,0.6,q20,77,29,0.9094827586206896,0.8046203827314236,0.8441558441558441,0.8204022988505747,0.7241379310344828,0.9166666666666666,8,4,0.11953223744454558
1,h_only,0.8,full,350,70,0.9895408163265307,0.9547314444871036,0.96,0.9267857142857143,0.8714285714285714,0.9821428571428571,9,5,0.030683833398934744
1,h_only,0.8,q30,110,37,0.938171047760089,0.8364802998650065,0.8727272727272727,0.8441318030359126,0.7567567567567568,0.9315068493150684,9,5,0.09328603452651882
1,h_only,0.8,q20,77,29,0.9094827586206896,0.8046203827314236,0.8441558441558441,0.8204022988505747,0.7241379310344828,0.9166666666666666,8,4,0.11953223744454558
1,h_only,1.0,full,350,70,0.9895408163265307,0.9547314444871036,0.96,0.9267857142857143,0.8714285714285714,0.9821428571428571,9,5,0.030683833398934744
