benchmark,method,budget,mean_global_error,std_global_error,mean_near_boundary_error_q10,std_near_boundary_error_q10,mean_near_boundary_error_q20,std_near_boundary_error_q20,mean_near_boundary_error_q30,std_near_boundary_error_q30,mean_latent_uncertainty_region_fraction,std_latent_uncertainty_region_fraction
branin,random,6,0.351900,0.058275,0.483500,0.048492,0.451250,0.093978,0.421333,0.117972,0.831900,0.194861
branin,random,20,0.165350,0.024555,0.430000,0.045935,0.356500,0.052437,0.302000,0.052772,0.768700,0.091750
branin,random,50,0.119400,0.029243,0.417000,0.041575,0.343250,0.047648,0.282333,0.044983,0.479850,0.107541
branin,smallest_abs_mu,6,0.351900,0.058275,0.483500,0.048492,0.451250,0.093978,0.421333,0.117972,0.831900,0.194861
branin,smallest_abs_mu,20,0.129700,0.013154,0.413000,0.037497,0.337750,0.051060,0.276167,0.038968,0.883450,0.033665
branin,smallest_abs_mu,50,0.065900,0.010975,0.364000,0.005831,0.246750,0.022144,0.186833,0.019188,0.742200,0.019692
branin,straddle,6,0.351900,0.058275,0.483500,0.048492,0.451250,0.093978,0.421333,0.117972,0.831900,0.194861
branin,straddle,20,0.124750,0.016943,0.417500,0.038503,0.336500,0.031448,0.282333,0.029095,0.572150,0.236472
branin,straddle,50,0.062000,0.008296,0.358500,0.030602,0.257250,0.033998,0.192833,0.028851,0.482300,0.049739
branin,randomized_straddle,6,0.351900,0.058275,0.483500,0.048492,0.451250,0.093978,0.421333,0.117972,0.831900,0.194861
branin,randomized_straddle,20,0.124000,0.027734,0.413500,0.028574,0.325250,0.022603,0.268667,0.022898,0.605550,0.211070
branin,randomized_straddle,50,0.060200,0.004279,0.363000,0.027221,0.251500,0.011549,0.186500,0.008873,0.632600,0.048045
branin,expected_feasibility,6,0.351900,0.058275,0.483500,0.048492,0.451250,0.093978,0.421333,0.117972,0.831900,0.194861
branin,expected_feasibility,20,0.148550,0.033898,0.444000,0.048026,0.362000,0.034691,0.308000,0.030151,0.596000,0.225870
branin,expected_feasibility,50,0.066350,0.010226,0.389500,0.043168,0.282250,0.029616,0.211333,0.027420,0.185050,0.014716
