analysis_label,config_fingerprint,target,target_label,method,fold_index,heldout_simulation_id,heldout_numeric_simulation_id,phase1_unstable_window_flag,observed_target_um,predicted_mean_um,residual_um,absolute_error_um,squared_error_um2,latent_predictive_std_um,latent_predictive_variance_um2,total_predictive_std_um,total_predictive_variance_um2,oracle_total_predictive_std_um,oracle_total_predictive_variance_um2,evaluation_predictive_std_um,evaluation_variance_definition,latent_nlpd,observation_level_nlpd,oracle_observation_level_nlpd,evaluation_nlpd,latent_interval_lower_um,latent_interval_upper_um,observation_interval_lower_um,observation_interval_upper_um,oracle_interval_lower_um,oracle_interval_upper_um,latent_interval_contains_observed,observation_interval_contains_observed,oracle_interval_contains_observed,optimized_kernel,optimized_length_scale,optimized_signal_variance_normalized,optimized_noise_variance_normalized,optimized_noise_std_normalized,optimized_noise_std_um,noise_std_fraction_training_target_std,heldout_target_summary_variance_um2,heldout_target_summary_std_um,training_alpha_normalized_min,training_alpha_normalized_median,training_alpha_normalized_max,alpha_kind,numerical_jitter_normalized,whitekernel_is_effective_nugget_not_simulator_noise,oracle_interval_is_retrospective_not_deployable,training_size,population_size,heldout_excluded_from_training,x_scaler_fit_on_training_only,y_scaler_fit_on_training_only,normalize_y,feature_columns,training_y_mean_um,training_y_std_um,x_training_mean,x_training_scale,heldout_P,heldout_VX,heldout_LS,heldout_ST,fold_random_seed,optimizer,n_restarts_optimizer,log_marginal_likelihood,runtime_seconds,warning_count,convergence_warning_count,warnings,convergence_status,failed_fold,constant_bound_hit,constant_bound_side,length_scale_bound_hit,length_scale_bound_side,noise_bound_hit,noise_bound_side,any_hyperparameter_bound_hit
full_population_loo,6E5B5B7DD1D0B4311C2309F5F25EE422003057BB9160BD239C2DA1F7FA530128,depth,Penetration depth below original surface,A_tiny_jitter,0,sim_00001,1,False,50.71019,52.31797625498605,-1.6077862549860529,1.6077862549860529,2.5849766417220765,2.9962149705289303,8.977304149621679,,,,,2.9962149705289303,latent predictive variance,2.1602612274400204,,,2.1602612274400204,46.44539491274935,58.19055759722275,,,,,True,,,"0.795**2 * Matern(length_scale=0.796, nu=1.5)",0.7964042381040506,0.6324450296447798,,,,,6.512842791292598e-05,0.0080702185790055,1e-06,1e-06,1e-06,fixed numerical jitter,1e-06,False,False,240,241,True,True,True,False,"[""P"",""VX"",""LS"",""ST""]",54.3839885,17.227241181993715,"[158.41685668854458,0.6174309603939917,6.476530180872957e-05,348.6835952922249]","[52.94868432117492,0.24073330218794772,1.3358446857885196e-05,32.34583139550507]",101.127472137,0.52394730996,4.5e-05,300.0,3349234061,fmin_l_bfgs_b,1,-193.2385280180716,1.2156461999984458,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
full_population_loo,6E5B5B7DD1D0B4311C2309F5F25EE422003057BB9160BD239C2DA1F7FA530128,depth,Penetration depth below original surface,A_tiny_jitter,1,sim_00002,2,True,26.660185,35.34125392619483,-8.681068926194829,8.681068926194829,75.36095770134544,10.606916180050437,112.5066708506157,,,,,10.606916180050437,latent predictive variance,3.61536252172422,,,3.61536252172422,14.551698213295978,56.13080963909368,,,,,True,,,"0.798**2 * Matern(length_scale=0.797, nu=1.5)",0.7965056603343136,0.6364755732426058,,,,,2.425321642034035e-05,0.0049247554680755,1e-06,1e-06,1e-06,fixed numerical jitter,1e-06,False,False,240,241,True,True,True,False,"[""P"",""VX"",""LS"",""ST""]",54.484196854166655,17.135387214975196,"[158.40446473227792,0.6157952004352666,6.458493395760749e-05,348.28789357284154]","[52.961741081080795,0.24002814447852902,1.3331834273979293e-05,32.35808136104498]",104.101541641,0.916529700054,8.82882842693e-05,394.968412652,486395531,fmin_l_bfgs_b,1,-192.90080376490172,0.8965975999890361,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
full_population_loo,6E5B5B7DD1D0B4311C2309F5F25EE422003057BB9160BD239C2DA1F7FA530128,depth,Penetration depth below original surface,A_tiny_jitter,2,sim_00003,3,False,34.838855,30.76134062936314,4.077514370636862,4.077514370636862,16.626123442750128,9.270713181850224,85.94612290013151,,,,,9.270713181850224,latent predictive variance,3.242522948121164,,,3.242522948121164,12.590742792936702,48.93193846578958,,,,,True,,,"0.798**2 * Matern(length_scale=0.798, nu=1.5)",0.7975852711088187,0.6373755821765527,,,,,1.807768422805676e-05,0.0042517860044993,1e-06,1e-06,1e-06,fixed numerical jitter,1e-06,False,False,240,241,True,True,True,False,"[""P"",""VX"",""LS"",""ST""]",54.4501190625,17.182490636036277,"[158.3995699254654,0.6169514116475291,6.463348166584206e-05,348.40255952951645]","[52.96670509691898,0.2408044033443286,1.3396689281503218e-05,32.47432872676716]",105.276295276,0.639039009111,7.6636834293e-05,367.44858305,2609876773,fmin_l_bfgs_b,1,-192.52292880499812,0.7930960999801755,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
full_population_loo,6E5B5B7DD1D0B4311C2309F5F25EE422003057BB9160BD239C2DA1F7FA530128,depth,Penetration depth below original surface,A_tiny_jitter,3,sim_00004,4,False,46.715575,39.16753966936248,7.548035330637525,7.548035330637525,56.97283735255233,10.174169981659013,103.51373481569136,,,,,10.174169981659013,latent predictive variance,3.5139852659503825,,,3.5139852659503825,19.22616650531081,59.10891283341414,,,,,True,,,"0.797**2 * Matern(length_scale=0.801, nu=1.5)",0.8007700865305831,0.6349089398273526,,,,,0.0002446138800997,0.0156401368312332,1e-06,1e-06,1e-06,fixed numerical jitter,1e-06,False,False,240,241,True,True,True,False,"[""P"",""VX"",""LS"",""ST""]",54.40063272916667,17.22175308545651,"[158.39165382346957,0.6182776072410958,6.458809252473623e-05,348.2925134424874]","[52.9745014621117,0.24004473767101805,1.3337358734301948e-05,32.36466594117993]",107.176159755,0.320752066655,8.75302281584e-05,393.859643937,226986031,fmin_l_bfgs_b,1,-191.7434260625232,1.3367253000033088,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
full_population_loo,6E5B5B7DD1D0B4311C2309F5F25EE422003057BB9160BD239C2DA1F7FA530128,depth,Penetration depth below original surface,A_tiny_jitter,4,sim_00005,5,False,66.61901499999999,77.6637791959935,-11.044764195993508,11.044764195993508,121.98681614510014,5.840974352816344,34.11698139025831,,,,,5.840974352816344,latent predictive variance,4.471608861369024,,,4.471608861369024,66.21546946447347,89.11208892751353,,,,,True,,,"0.798**2 * Matern(length_scale=0.811, nu=1.5)",0.8111737715524734,0.6375580707762942,,,,,3.4078284514125565e-05,0.0058376608769374,1e-06,1e-06,1e-06,fixed numerical jitter,1e-06,False,False,240,241,True,True,True,False,"[""P"",""VX"",""LS"",""ST""]",54.31770172916666,17.2106347543635,"[158.3808880455779,0.6186060484485084,6.476530180872957e-05,348.6835952922249]","[52.98464515358333,0.2395830529147136,1.3358446857885196e-05,32.34583139550507]",109.759946449,0.241926176876,4.5e-05,300.0,2924649909,fmin_l_bfgs_b,1,-190.72165752614936,0.6416575999755878,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
full_population_loo,6E5B5B7DD1D0B4311C2309F5F25EE422003057BB9160BD239C2DA1F7FA530128,depth,Penetration depth below original surface,A_tiny_jitter,5,sim_00006,6,True,26.879505,25.029632014513695,1.8498729854863,1.8498729854863,3.422030062431997,8.385115286457383,70.31015836718129,,,,,8.385115286457383,latent predictive variance,3.069731923957244,,,3.069731923957244,8.594806053057226,41.46445797597017,,,,,True,,,"0.8**2 * Matern(length_scale=0.798, nu=1.5)",0.7981495058051987,0.6402726059021736,,,,,6.360520528447079e-05,0.0079752871600006,1e-06,1e-06,1e-06,fixed numerical jitter,1e-06,False,False,240,241,True,True,True,False,"[""P"",""VX"",""LS"",""ST""]",54.48328302083333,17.136865138324342,"[158.37891002264456,0.6160032861109832,6.461589345980373e-05,348.4795091247081]","[52.986451341788005,0.24026700149970834,1.3378135022634581e-05,32.49747951712133]",110.234671953,0.866589137882,8.08580037422e-05,348.980680204,119453970,fmin_l_bfgs_b,1,-193.16628730712773,0.820142799988389,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
full_population_loo,6E5B5B7DD1D0B4311C2309F5F25EE422003057BB9160BD239C2DA1F7FA530128,depth,Penetration depth below original surface,A_tiny_jitter,6,sim_00007,7,False,50.78583,49.409638538495024,1.3761914615049733,1.3761914615049733,1.8939029387191944,8.811133239323361,77.63606896110899,,,,,8.811133239323361,latent predictive variance,3.1071519093703697,,,3.1071519093703697,32.13981738942124,66.67945968756881,,,,,True,,,"0.796**2 * Matern(length_scale=0.799, nu=1.5)",0.7992049587684463,0.6330614003523337,,,,,4.354413964328403e-06,0.0020867232601206,1e-06,1e-06,1e-06,fixed numerical jitter,1e-06,False,False,240,241,True,True,True,False,"[""P"",""VX"",""LS"",""ST""]",54.38367333333333,17.227307698003717,"[158.37721145453625,0.6184717627793292,6.464164930829206e-05,348.43937469980403]","[52.987988101203044,0.2397850262103685,1.3403405712270068e-05,32.490887191220146]",110.642328299,0.274154737479,7.4676600105e-05,358.612942181,1430683042,fmin_l_bfgs_b,1,-191.57541068755248,0.6203358999919146,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
full_population_loo,6E5B5B7DD1D0B4311C2309F5F25EE422003057BB9160BD239C2DA1F7FA530128,depth,Penetration depth below original surface,A_tiny_jitter,7,sim_00008,8,False,38.68263,38.67073173113446,0.0118982688655435,0.0118982688655435,0.0001415688019967,9.599213428422232,92.14489844440168,,,,,9.599213428422232,latent predictive variance,3.1806204619680782,,,3.1806204619680782,19.856273411426887,57.48519005084204,,,,,True,,,"0.797**2 * Matern(length_scale=0.797, nu=1.5)",0.796982387061997,0.6359672184291919,,,,,0.0004122693581607,0.0203044172081027,1e-06,1e-06,1e-06,fixed numerical jitter,1e-06,False,False,240,241,True,True,True,False,"[""P"",""VX"",""LS"",""ST""]",54.43410333333333,17.19896347115715,"[158.3697702161654,0.6166771339720416,6.46898903951029e-05,348.6450890727332]","[52.994565302894024,0.24074159257097874,1.3418592428444363e-05,32.39822083701424]",112.428225508,0.704865651228,6.30987392704e-05,309.241492678,126256516,fmin_l_bfgs_b,1,-192.3636581266876,0.5129542000067886,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
full_population_loo,6E5B5B7DD1D0B4311C2309F5F25EE422003057BB9160BD239C2DA1F7FA530128,depth,Penetration depth below original surface,A_tiny_jitter,8,sim_00009,9,False,54.58924,54.07668394838827,0.5125560516117247,0.5125560516117247,0.2627137060438009,10.07562999925652,101.51831988191796,,,,,10.07562999925652,latent predictive variance,3.230352092671453,,,3.230352092671453,34.3284491498455,73.82491874693105,,,,,True,,,"0.796**2 * Matern(length_scale=0.797, nu=1.5)",0.7972340021557458,0.6340031077127599,,,,,3.72947086712413e-05,0.0061069393865701,1e-06,1e-06,1e-06,fixed numerical jitter,1e-06,False,False,240,241,True,True,True,False,"[""P"",""VX"",""LS"",""ST""]",54.36782579166666,17.22886063043465,"[158.36778409537374,0.6173736856002167,6.475985666105916e-05,348.5912237646123]","[52.99627809469381,0.24075390073481917,1.3366233832592893e-05,32.45289559521182]",112.904894498,0.537693260466,4.63068354409e-05,322.169166627,1103948410,fmin_l_bfgs_b,1,-191.9676979197233,1.0323545999999624,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
full_population_loo,6E5B5B7DD1D0B4311C2309F5F25EE422003057BB9160BD239C2DA1F7FA530128,depth,Penetration depth below original surface,A_tiny_jitter,9,sim_00010,10,False,46.8229,46.14338270197196,0.6795172980280455,0.6795172980280455,0.4617437583193356,8.71348946426733,75.92489864389775,,,,,8.71348946426733,latent predictive variance,3.08685166391625,,,3.08685166391625,29.064943352007997,63.22182205193592,,,,,True,,,"0.796**2 * Matern(length_scale=0.797, nu=1.5)",0.7966089328941561,0.6340211689373237,,,,,4.299951525160583e-05,0.0065574015624792,1e-06,1e-06,1e-06,fixed numerical jitter,1e-06,False,False,240,241,True,True,True,False,"[""P"",""VX"",""LS"",""ST""]",54.400185541666666,17.221951238624566,"[158.36619331605706,0.6172487292997,6.471096775599373e-05,348.6746412483623]","[52.99763697439272,0.2407874391839439,1.3412102099912544e-05,32.35900673090017]",113.286681534,0.56768277259,5.80401726566e-05,302.148970527,543140966,fmin_l_bfgs_b,1,-192.21946792267855,0.660473700001603,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
